Education Level,Institution Type,Age,Flexibility Level,Location,Network Type,IT Student,Device,Internet Type,Gender,Financial Condition
School,Private,11,Moderate,Town,5G,No,Mobile,Own data,Male,Average
College,Private,18,Low,Rural,4G,No,Mobile,Wifi,Female,Average
School,Private,10,Moderate,Town,4G,No,Mobile,Wifi,Male,Rich
University,Private,23,Low,Town,4G,Yes,Mobile,Wifi,Female,Average
University,Private,27,Moderate,Town,5G,Yes,Mobile,Wifi,Male,Average
School,Private,11,Moderate,Town,5G,No,Mobile,Own data,Male,Average
College,Public,18,Low,Rural,4G,No,Mobile,Wifi,Male,Average
University,Private,23,High,Town,4G,Yes,Computer,Wifi,Male,Poor
School,Private,11,Low,Rural,5G,No,Mobile,Own data,Male,Average
University,Private,23,High,Town,4G,Yes,Computer,Wifi,Male,Poor
College,Public,18,Low,Rural,5G,No,Mobile,Own data,Male,Average
University,Private,23,Moderate,Town,4G,Yes,Computer,Own data,Male,Average
College,Public,18,Low,Rural,4G,Yes,Mobile,Own data,Male,Average
University,Private,23,Low,Town,4G,Yes,Computer,Wifi,Male,Average
College,Private,18,Low,Town,4G,No,Mobile,Wifi,Female,Average
College,Private,18,Moderate,Rural,4G,No,Mobile,Wifi,Female,Average
School,Private,11,Moderate,Town,5G,No,Mobile,Own data,Male,Average
College,Private,18,Low,Rural,4G,No,Mobile,Wifi,Female,Average
School,Private,11,Moderate,Town,5G,No,Mobile,Own data,Female,Poor
